Age,death_rate,Accidents,Homicide,Respiratory illness,Influenza and pneumonia,Dementia,Cancer,Cardiovascular disease,Epilepsy,Cerebrovascular disease,Septicaemia,Genetic deformation,Suicide,Liver disease,Other
0,0.003554,0.0952380952380952,0.0833333333333333,0.0238095238095238,0.0714285714285714,0,0.142857142857143,0.0595238095238095,0.0238095238095238,0.0357142857142857,0.0357142857142857,0.214285714285714,0,0,0.214285714285714
1,0.000224,0.0952380952380952,0.0833333333333333,0.0238095238095238,0.0714285714285714,0,0.142857142857143,0.0595238095238095,0.0238095238095238,0.0357142857142857,0.0357142857142857,0.214285714285714,0,0,0.214285714285714
2,0.000127,0.0952380952380952,0.0833333333333333,0.0238095238095238,0.0714285714285714,0,0.142857142857143,0.0595238095238095,0.0238095238095238,0.0357142857142857,0.0357142857142857,0.214285714285714,0,0,0.214285714285714
3,0.000098,0.0952380952380952,0.0833333333333333,0.0238095238095238,0.0714285714285714,0,0.142857142857143,0.0595238095238095,0.0238095238095238,0.0357142857142857,0.0357142857142857,0.214285714285714,0,0,0.214285714285714
4,0.000073,0.0952380952380952,0.0833333333333333,0.0238095238095238,0.0714285714285714,0,0.142857142857143,0.0595238095238095,0.0238095238095238,0.0357142857142857,0.0357142857142857,0.214285714285714,0,0,0.214285714285714
5,0.000081,0.187265917602996,0.0599250936329588,0,0.0599250936329588,0,0.239700374531835,0,0.0411985018726592,0.0449438202247191,0.0262172284644195,0.108614232209738,0.232209737827715,0,0
6,0.000075,0.187265917602996,0.0599250936329588,0,0.0599250936329588,0,0.239700374531835,0,0.0411985018726592,0.0449438202247191,0.0262172284644195,0.108614232209738,0.232209737827715,0,0
7,0.000060,0.187265917602996,0.0599250936329588,0,0.0599250936329588,0,0.239700374531835,0,0.0411985018726592,0.0449438202247191,0.0262172284644195,0.108614232209738,0.232209737827715,0,0
8,0.000060,0.187265917602996,0.0599250936329588,0,0.0599250936329588,0,0.239700374531835,0,0.0411985018726592,0.0449438202247191,0.0262172284644195,0.108614232209738,0.232209737827715,0,0
9,0.000062,0.187265917602996,0.0599250936329588,0,0.0599250936329588,0,0.239700374531835,0,0.0411985018726592,0.0449438202247191,0.0262172284644195,0.108614232209738,0.232209737827715,0,0
10,0.000059,0.187265917602996,0.0599250936329588,0,0.0599250936329588,0,0.239700374531835,0,0.0411985018726592,0.0449438202247191,0.0262172284644195,0.108614232209738,0.232209737827715,0,0
11,0.000076,0.187265917602996,0.0599250936329588,0,0.0599250936329588,0,0.239700374531835,0,0.0411985018726592,0.0449438202247191,0.0262172284644195,0.108614232209738,0.232209737827715,0,0
12,0.000069,0.187265917602996,0.0599250936329588,0,0.0599250936329588,0,0.239700374531835,0,0.0411985018726592,0.0449438202247191,0.0262172284644195,0.108614232209738,0.232209737827715,0,0
13,0.000078,0.187265917602996,0.0599250936329588,0,0.0599250936329588,0,0.239700374531835,0,0.0411985018726592,0.0449438202247191,0.0262172284644195,0.108614232209738,0.232209737827715,0,0
14,0.000101,0.187265917602996,0.0599250936329588,0,0.0599250936329588,0,0.239700374531835,0,0.0411985018726592,0.0449438202247191,0.0262172284644195,0.108614232209738,0.232209737827715,0,0
15,0.000119,0.187265917602996,0.0599250936329588,0,0.0599250936329588,0,0.239700374531835,0,0.0411985018726592,0.0449438202247191,0.0262172284644195,0.108614232209738,0.232209737827715,0,0
16,0.000153,0.187265917602996,0.0599250936329588,0,0.0599250936329588,0,0.239700374531835,0,0.0411985018726592,0.0449438202247191,0.0262172284644195,0.108614232209738,0.232209737827715,0,0
17,0.000152,0.187265917602996,0.0599250936329588,0,0.0599250936329588,0,0.239700374531835,0,0.0411985018726592,0.0449438202247191,0.0262172284644195,0.108614232209738,0.232209737827715,0,0
18,0.000218,0.187265917602996,0.0599250936329588,0,0.0599250936329588,0,0.239700374531835,0,0.0411985018726592,0.0449438202247191,0.0262172284644195,0.108614232209738,0.232209737827715,0,0
19,0.000196,0.187265917602996,0.0599250936329588,0,0.0599250936329588,0,0.239700374531835,0,0.0411985018726592,0.0449438202247191,0.0262172284644195,0.108614232209738,0.232209737827715,0,0
20,0.000197,0.212121212121212,0.0449657869012708,0,0.0371456500488759,0,0.240469208211144,0,0.0498533724340176,0.0342130987292278,0,0.0332355816226784,0.263929618768328,0.0684261974584555,0.0156412930135558
21,0.000224,0.212121212121212,0.0449657869012708,0,0.0371456500488759,0,0.240469208211144,0,0.0498533724340176,0.0342130987292278,0,0.0332355816226784,0.263929618768328,0.0684261974584555,0.0156412930135558
22,0.000219,0.212121212121212,0.0449657869012708,0,0.0371456500488759,0,0.240469208211144,0,0.0498533724340176,0.0342130987292278,0,0.0332355816226784,0.263929618768328,0.0684261974584555,0.0156412930135558
23,0.000220,0.212121212121212,0.0449657869012708,0,0.0371456500488759,0,0.240469208211144,0,0.0498533724340176,0.0342130987292278,0,0.0332355816226784,0.263929618768328,0.0684261974584555,0.0156412930135558
24,0.000226,0.212121212121212,0.0449657869012708,0,0.0371456500488759,0,0.240469208211144,0,0.0498533724340176,0.0342130987292278,0,0.0332355816226784,0.263929618768328,0.0684261974584555,0.0156412930135558
25,0.000260,0.212121212121212,0.0449657869012708,0,0.0371456500488759,0,0.240469208211144,0,0.0498533724340176,0.0342130987292278,0,0.0332355816226784,0.263929618768328,0.0684261974584555,0.0156412930135558
26,0.000252,0.212121212121212,0.0449657869012708,0,0.0371456500488759,0,0.240469208211144,0,0.0498533724340176,0.0342130987292278,0,0.0332355816226784,0.263929618768328,0.0684261974584555,0.0156412930135558
27,0.000286,0.212121212121212,0.0449657869012708,0,0.0371456500488759,0,0.240469208211144,0,0.0498533724340176,0.0342130987292278,0,0.0332355816226784,0.263929618768328,0.0684261974584555,0.0156412930135558
28,0.000330,0.212121212121212,0.0449657869012708,0,0.0371456500488759,0,0.240469208211144,0,0.0498533724340176,0.0342130987292278,0,0.0332355816226784,0.263929618768328,0.0684261974584555,0.0156412930135558
