Age,death_rate,Accidents,Homicide,Respiratory illness,Influenza and pneumonia,Dementia,Cancer,Cardiovascular disease,Epilepsy,Cerebrovascular disease,Septicaemia,Genetic deformation,Suicide,Liver disease,Other,,,,,,,
0,0.004208,0.111111111111111,0.0462962962962963,0.0555555555555556,0.111111111111111,0,0.12037037037037,0.0277777777777778,0.0277777777777778,0.0185185185185185,0.037037037037037,0.231481481481481,0,0,0.203703703703704,,,,,,,
1,0.000257,0.111111111111111,0.0462962962962963,0.0555555555555556,0.111111111111111,0,0.12037037037037,0.0277777777777778,0.0277777777777778,0.0185185185185185,0.037037037037037,0.231481481481481,0,0,0.203703703703704,,,,,,,
2,0.000139,0.111111111111111,0.0462962962962963,0.0555555555555556,0.111111111111111,0,0.12037037037037,0.0277777777777778,0.0277777777777778,0.0185185185185185,0.037037037037037,0.231481481481481,0,0,0.203703703703704,,,,,,,
3,0.000114,0.111111111111111,0.0462962962962963,0.0555555555555556,0.111111111111111,0,0.12037037037037,0.0277777777777778,0.0277777777777778,0.0185185185185185,0.037037037037037,0.231481481481481,0,0,0.203703703703704,,,,,,,
4,0.000099,0.111111111111111,0.0462962962962963,0.0555555555555556,0.111111111111111,0,0.12037037037037,0.0277777777777778,0.0277777777777778,0.0185185185185185,0.037037037037037,0.231481481481481,0,0,0.203703703703704,,,,,,,
5,0.000093,0.225490196078431,0.120098039215686,0,0,0,0.215686274509804,0,0,0.053921568627451,0,0.0563725490196078,0.32843137254902,0,0,,,,,,,
6,0.000080,0.225490196078431,0.120098039215686,0,0,0,0.215686274509804,0,0,0.053921568627451,0,0.0563725490196078,0.32843137254902,0,0,,,,,,,
7,0.000077,0.225490196078431,0.120098039215686,0,0,0,0.215686274509804,0,0,0.053921568627451,0,0.0563725490196078,0.32843137254902,0,0,,,,,,,
8,0.000071,0.225490196078431,0.120098039215686,0,0,0,0.215686274509804,0,0,0.053921568627451,0,0.0563725490196078,0.32843137254902,0,0,,,,,,,
9,0.000065,0.225490196078431,0.120098039215686,0,0,0,0.215686274509804,0,0,0.053921568627451,0,0.0563725490196078,0.32843137254902,0,0,,,,,,,
10,0.000076,0.225490196078431,0.120098039215686,0,0,0,0.215686274509804,0,0,0.053921568627451,0,0.0563725490196078,0.32843137254902,0,0,,,,,,,
11,0.000086,0.225490196078431,0.120098039215686,0,0,0,0.215686274509804,0,0,0.053921568627451,0,0.0563725490196078,0.32843137254902,0,0,,,,,,,
12,0.000099,0.225490196078431,0.120098039215686,0,0,0,0.215686274509804,0,0,0.053921568627451,0,0.0563725490196078,0.32843137254902,0,0,,,,,,,
13,0.000110,0.225490196078431,0.120098039215686,0,0,0,0.215686274509804,0,0,0.053921568627451,0,0.0563725490196078,0.32843137254902,0,0,,,,,,,
14,0.000133,0.225490196078431,0.120098039215686,0,0,0,0.215686274509804,0,0,0.053921568627451,0,0.0563725490196078,0.32843137254902,0,0,,,,,,,
15,0.000179,0.225490196078431,0.120098039215686,0,0,0,0.215686274509804,0,0,0.053921568627451,0,0.0563725490196078,0.32843137254902,0,0,,,,,,,
16,0.000234,0.225490196078431,0.120098039215686,0,0,0,0.215686274509804,0,0,0.053921568627451,0,0.0563725490196078,0.32843137254902,0,0,,,,,,,
17,0.000317,0.225490196078431,0.120098039215686,0,0,0,0.215686274509804,0,0,0.053921568627451,0,0.0563725490196078,0.32843137254902,0,0,,,,,,,
18,0.000406,0.225490196078431,0.120098039215686,0,0,0,0.215686274509804,0,0,0.053921568627451,0,0.0563725490196078,0.32843137254902,0,0,,,,,,,
19,0.000450,0.225490196078431,0.120098039215686,0,0,0,0.215686274509804,0,0,0.053921568627451,0,0.0563725490196078,0.32843137254902,0,0,,,,,,,
20,0.000481,0.413898601398601,0.0598776223776224,0,0,0,0.0314685314685315,0,0.034965034965035,0,0,0,0.402972027972028,0.0406468531468531,0.0161713286713287,,,,,,,
21,0.000508,0.413898601398601,0.0598776223776224,0,0,0,0.0314685314685315,0,0.034965034965035,0,0,0,0.402972027972028,0.0406468531468531,0.0161713286713287,,,,,,,
22,0.000494,0.413898601398601,0.0598776223776224,0,0,0,0.0314685314685315,0,0.034965034965035,0,0,0,0.402972027972028,0.0406468531468531,0.0161713286713287,,,,,,,
23,0.000524,0.413898601398601,0.0598776223776224,0,0,0,0.0314685314685315,0,0.034965034965035,0,0,0,0.402972027972028,0.0406468531468531,0.0161713286713287,,,,,,,
24,0.000544,0.413898601398601,0.0598776223776224,0,0,0,0.0314685314685315,0,0.034965034965035,0,0,0,0.402972027972028,0.0406468531468531,0.0161713286713287,,,,,,,
25,0.000600,0.413898601398601,0.0598776223776224,0,0,0,0.0314685314685315,0,0.034965034965035,0,0,0,0.402972027972028,0.0406468531468531,0.0161713286713287,,,,,,,
26,0.000597,0.413898601398601,0.0598776223776224,0,0,0,0.0314685314685315,0,0.034965034965035,0,0,0,0.402972027972028,0.0406468531468531,0.0161713286713287,,,,,,,
27,0.000604,0.413898601398601,0.0598776223776224,0,0,0,0.0314685314685315,0,0.034965034965035,0,0,0,0.402972027972028,0.0406468531468531,0.0161713286713287,,,,,,,
28,0.000697,0.413898601398601,0.0598776223776224,0,0,0,0.0314685314685315,0,0.034965034965035,0,0,0,0.402972027972028,0.0406468531468531,0.0161713286713287,,,,,,,
29,0.000731,0.413898601398601,0.0598776223776224,0,0,0,0.0314685314685315,0,0.034965034965035,0,0,0,0.402972027972028,0.0406468531468531,0.0161713286713287,,,,,,,
30,0.000750,0.413898601398601,0.0598776223776224,0,0,0,0.0314685314685315,0,0.034965034965035,0,0,0,0.402972027972028,0.0406468531468531,0.0161713286713287,,,,,,,
31,0.000830,0.413898601398601,0.0598776223776224,0,0,0,0.0314685314685315,0,0.034965034965035,0,0,0,0.402972027972028,0.0406468531468531,0.0161713286713287,,,,,,,
32,0.000859,0.413898601398601,0.0598776223776224,0,0,0,0.0314685314685315,0,0.034965034965035,0,0,0,0.402972027972028,0.0406468531468531,0.0161713286713287,,,,,,,
33,0.000915,0.413898601398601,0.0598776223776224,0,0,0,0.0314685314685315,0,0.034965034965035,0,0,0,0.402972027972028,0.0406468531468531,0.0161713286713287,,,,,,,
34,0.000983,0.413898601398601,0.0598776223776224,0,0,0,0.0314685314685315,0,0.034965034965035,0,0,0,0.402972027972028,0.0406468531468531,0.0161713286713287,,,,,,,
35,0.001044,0.288372093023256,0,0,0,0,0.027906976744186,0.266254635352287,0,0.057633973710819,0,0,0.235187057633974,0.173104145601618,0.027906976744186,,,,,,,
36,0.001163,0.288372093023256,0,0,0,0,0.027906976744186,0.266254635352287,0,0.057633973710819,0,0,0.235187057633974,0.173104145601618,0.027906976744186,,,,,,,
37,0.001248,0.288372093023256,0,0,0,0,0.027906976744186,0.266254635352287,0,0.057633973710819,0,0,0.235187057633974,0.173104145601618,0.027906976744186,,,,,,,
38,0.001232,0.288372093023256,0,0,0,0,0.027906976744186,0.266254635352287,0,0.057633973710819,0,0,0.235187057633974,0.173104145601618,0.027906976744186,,,,,,,
39,0.001395,0.288372093023256,0,0,0,0,0.027906976744186,0.266254635352287,0,0.057633973710819,0,0,0.235187057633974,0.173104145601618,0.027906976744186,,,,,,,
40,0.001530,0.288372093023256,0,0,0,0,0.027906976744186,0.266254635352287,0,0.057633973710819,0,0,0.235187057633974,0.173104145601618,0.027906976744186,,,,,,,
41,0.001733,0.288372093023256,0,0,0,0,0.027906976744186,0.266254635352287,0,0.057633973710819,0,0,0.235187057633974,0.173104145601618,0.027906976744186,,,,,,,
42,0.001845,0.288372093023256,0,0,0,0,0.027906976744186,0.266254635352287,0,0.057633973710819,0,0,0.235187057633974,0.173104145601618,0.027906976744186,,,,,,,
43,0.002070,0.288372093023256,0,0,0,0,0.027906976744186,0.266254635352287,0,0.057633973710819,0,0,0.235187057633974,0.173104145601618,0.027906976744186,,,,,,,
44,0.002133,0.288372093023256,0,0,0,0,0.027906976744186,0.266254635352287,0,0.057633973710819,0,0,0.235187057633974,0.173104145601618,0.027906976744186,,,,,,,
45,0.002297,0.288372093023256,0,0,0,0,0.027906976744186,0.266254635352287,0,0.057633973710819,0,0,0.235187057633974,0.173104145601618,0.027906976744186,,,,,,,
46,0.002455,0.288372093023256,0,0,0,0,0.027906976744186,0.266254635352287,0,0.057633973710819,0,0,0.235187057633974,0.173104145601618,0.027906976744186,,,,,,,
47,0.002731,0.288372093023256,0,0,0,0,0.027906976744186,0.266254635352287,0,0.057633973710819,0,0,0.235187057633974,0.173104145601618,0.027906976744186,,,,,,,
48,0.002874,0.288372093023256,0,0,0,0,0.027906976744186,0.266254635352287,0,0.057633973710819,0,0,0.235187057633974,0.173104145601618,0.027906976744186,,,,,,,
49,0.003159,0.288372093023256,0,0,0,0,0.027906976744186,0.266254635352287,0,0.057633973710819,0,0,0.235187057633974,0.173104145601618,0.027906976744186,,,,,,,
50,0.003381,0,0,0.100497587454765,0,0,0.276387213510253,0.647014475271411,0,0.0805940892641737,0,0,0,0.143621833534379,0,,,,,,,
51,0.003551,0,0,0.100497587454765,0,0,0.276387213510253,0.647014475271411,0,0.0805940892641737,0,0,0,0.143621833534379,0,,,,,,,
52,0.003926,0,0,0.100497587454765,0,0,0.276387213510253,0.647014475271411,0,0.0805940892641737,0,0,0,0.143621833534379,0,,,,,,,
53,0.004086,0,0,0.100497587454765,0,0,0.276387213510253,0.647014475271411,0,0.0805940892641737,0,0,0,0.143621833534379,0,,,,,,,
54,0.004440,0,0,0.100497587454765,0,0,0.276387213510253,0.647014475271411,0,0.0805940892641737,0,0,0,0.143621833534379,0,,,,,,,
55,0.004898,0,0,0.100497587454765,0,0,0.276387213510253,0.647014475271411,0,0.0805940892641737,0,0,0,0.143621833534379,0,,,,,,,
56,0.005395,0,0,0.100497587454765,0,0,0.276387213510253,0.647014475271411,0,0.0805940892641737,0,0,0,0.143621833534379,0,,,,,,,
57,0.005887,0,0,0.100497587454765,0,0,0.276387213510253,0.647014475271411,0,0.0805940892641737,0,0,0,0.143621833534379,0,,,,,,,
58,0.006451,0,0,0.100497587454765,0,0,0.276387213510253,0.647014475271411,0,0.0805940892641737,0,0,0,0.143621833534379,0,,,,,,,
59,0.007059,0,0,0.100497587454765,0,0,0.276387213510253,0.647014475271411,0,0.0805940892641737,0,0,0,0.143621833534379,0,,,,,,,
60,0.007778,0,0,0.100497587454765,0,0,0.276387213510253,0.647014475271411,0,0.0805940892641737,0,0,0,0.143621833534379,0,,,,,,,
61,0.008576,0,0,0.100497587454765,0,0,0.276387213510253,0.647014475271411,0,0.0805940892641737,0,0,0,0.143621833534379,0,,,,,,,
62,0.009321,0,0,0.100497587454765,0,0,0.276387213510253,0.647014475271411,0,0.0805940892641737,0,0,0,0.143621833534379,0,,,,,,,
63,0.010452,0,0,0.100497587454765,0,0,0.276387213510253,0.647014475271411,0,0.0805940892641737,0,0,0,0.143621833534379,0,,,,,,,
64,0.011180,0,0,0.100497587454765,0,0,0.276387213510253,0.647014475271411,0,0.0805940892641737,0,0,0,0.143621833534379,0,,,,,,,
65,0.012283,0,0,0.157614697319546,0.0685423150286116,0.0948950908543319,0.283104106013452,0.303282802931433,0,0.0925609878526252,0,0,0,0,0,,,,,,,
66,0.013661,0,0,0.157614697319546,0.0685423150286116,0.0948950908543319,0.283104106013452,0.303282802931433,0,0.0925609878526252,0,0,0,0,0,,,,,,,
67,0.014598,0,0,0.157614697319546,0.0685423150286116,0.0948950908543319,0.283104106013452,0.303282802931433,0,0.0925609878526252,0,0,0,0,0,,,,,,,
68,0.016023,0,0,0.157614697319546,0.0685423150286116,0.0948950908543319,0.283104106013452,0.303282802931433,0,0.0925609878526252,0,0,0,0,0,,,,,,,
69,0.017359,0,0,0.157614697319546,0.0685423150286116,0.0948950908543319,0.283104106013452,0.303282802931433,0,0.0925609878526252,0,0,0,0,0,,,,,,,
70,0.018871,0,0,0.157614697319546,0.0685423150286116,0.0948950908543319,0.283104106013452,0.303282802931433,0,0.0925609878526252,0,0,0,0,0,,,,,,,
71,0.020878,0,0,0.157614697319546,0.0685423150286116,0.0948950908543319,0.283104106013452,0.303282802931433,0,0.0925609878526252,0,0,0,0,0,,,,,,,
72,0.023406,0,0,0.157614697319546,0.0685423150286116,0.0948950908543319,0.283104106013452,0.303282802931433,0,0.0925609878526252,0,0,0,0,0,,,,,,,
73,0.026141,0,0,0.157614697319546,0.0685423150286116,0.0948950908543319,0.283104106013452,0.303282802931433,0,0.0925609878526252,0,0,0,0,0,,,,,,,
74,0.029020,0,0,0.157614697319546,0.0685423150286116,0.0948950908543319,0.283104106013452,0.303282802931433,0,0.0925609878526252,0,0,0,0,0,,,,,,,
